Individual	Location	Pasture	Parasitism	pop_para	pop_para_past
Rpoa26	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa27	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa28	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa29	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa30	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa31	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa32	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa33	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa34	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa35	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa36	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa37	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa38	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa39	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa40	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa41	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa42	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa43	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa44	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa45	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa46	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa47	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa48	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa49	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa50	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa51	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa52	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa53	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa54	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa55	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa56	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa57	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa58	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa59	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa60	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa61	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa62	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa63	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa64	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa65	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa66	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa67	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa68	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa69	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa70	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa71	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa72	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa73	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa74	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa75	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa76	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa77	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa78	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa79	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa80	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa81	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa82	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa83	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa84	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa85	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa86	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa87	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa88	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa89	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa90	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa91	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa92	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa93	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa94	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa95	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa96	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa97	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa98	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa99	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa100	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
L1	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L2	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
