chrom,V1
contig_2476,20
contig_3585,2
contig_22920,11
scaffold_33716,14
contig_5817,5
contig_3760,19
contig_3707,9
contig_45255,9
contig_42469,8
contig_33466,17
contig_3354,30
contig_12561,11
contig_7344,1
contig_46031,1
contig_1053,5
contig_1902,6
contig_23880,3
contig_4745,7
contig_12429,6
contig_4531,14
contig_32504,40
contig_25022,9
contig_28813,5
contig_29699,4
contig_4229,11
contig_22115,7
contig_13630,20
contig_2615,11
contig_17095,4
contig_5697,5
contig_27020,2
contig_20675,8
contig_24617,8
contig_20790,10
contig_16396,1
contig_22282,12
contig_5196,1
contig_3962,1
contig_3089,4
contig_23354,5
contig_9726,10
contig_22513,14
contig_22833,4
contig_21066,1
contig_4321,11
contig_2267,9
contig_4464,14
contig_2760,3
contig_3160,7
contig_1951,14
contig_37057,12
contig_21765,18
contig_1226,10
contig_207,31
contig_7841,13
contig_19176,1
contig_11458,8
contig_4028,1
contig_5070,8
contig_15519,11
contig_2386,5
contig_7004,7
contig_1132,1
contig_9848,23
contig_4535,6
contig_12989,2
contig_704,9
contig_18101,15
contig_26671,16
contig_2560,5
contig_8546,15
contig_27115,20
contig_235,1
contig_844,7
contig_19995,5
contig_16842,6
contig_6027,3
contig_1862,13
contig_31037,4
contig_23689,4
contig_3559,12
contig_3912,11
contig_286,17
contig_13819,7
contig_18024,5
contig_1013,15
contig_12222,10
contig_3639,1
scaffold_1026,4
contig_18726,3
contig_3106,1
contig_31470,13
contig_4578,5
contig_33368,8
contig_16805,7
scaffold_23766,2
contig_30088,8
contig_14304,5
contig_21036,2
contig_11689,11
contig_20150,4
contig_5652,11
contig_33548,11
contig_2184,5
contig_23548,7
scaffold_10094,3
contig_25745,18
contig_1619,10
contig_3530,4
contig_1262,22
scaffold_6096,9
contig_25704,6
contig_11185,5
contig_17,10
contig_20874,2
contig_24443,11
contig_7001,10
contig_2463,16
contig_642,10
contig_39907,7
contig_1463,32
contig_16930,1
contig_28689,6
contig_27501,13
contig_6363,14
contig_32429,24
contig_2218,12
contig_20636,11
contig_2276,1
contig_21072,8
contig_555,12
contig_5458,15
contig_20291,11
contig_22559,9
contig_371,6
contig_22343,10
contig_24685,5
scaffold_2886,6
contig_12175,10
contig_25017,8
contig_9712,3
contig_4948,25
contig_7504,27
contig_23421,23
contig_29700,4
contig_23682,5
contig_5394,1
contig_7368,3
contig_13743,1
contig_26385,4
contig_1235,3
contig_13362,9
contig_1474,10
contig_6588,6
contig_6101,11
contig_9756,6
contig_342,15
contig_23111,8
contig_3611,2
contig_39780,1
contig_254,11
contig_1483,8
contig_21790,1
contig_18205,2
contig_7029,9
contig_22476,8
contig_16377,13
contig_1503,3
contig_13129,10
contig_19202,1
contig_11959,12
contig_8044,1
contig_2787,19
contig_3753,10
contig_39595,17
contig_3916,4
contig_37128,19
contig_1140,17
contig_8640,7
contig_22451,3
contig_2481,8
contig_2735,5
contig_35225,7
contig_5995,9
contig_16536,8
contig_523,21
contig_4758,7
contig_44165,5
contig_18059,14
contig_1041,28
contig_11238,24
contig_528,2
contig_6964,3
contig_7627,15
contig_8876,3
contig_2688,4
contig_31371,15
contig_5208,6
contig_5587,23
contig_23638,6
contig_9154,2
contig_942,5
contig_28286,2
contig_24469,4
contig_3538,1
contig_25543,6
contig_3371,10
contig_17109,15
contig_29411,7
contig_22251,18
contig_6504,9
contig_6496,7
contig_9280,26
contig_21873,3
contig_13543,6
contig_22899,1
contig_16633,8
contig_5131,2
contig_15917,7
contig_21751,4
contig_22074,1
contig_10820,6
contig_10227,3
contig_16643,6
contig_5448,6
contig_33849,13
contig_2060,28
contig_41905,6
contig_112,3
contig_27750,3
contig_35014,26
contig_11441,12
contig_6752,7
contig_12235,11
contig_24521,2
contig_14244,1
contig_27063,8
contig_2922,1
contig_34288,2
contig_19733,12
contig_19096,2
contig_1973,16
contig_38441,3
contig_5886,3
contig_1269,9
contig_5244,2
contig_26334,2
contig_7882,2
contig_195,1
contig_2389,13
contig_40137,3
contig_7743,20
contig_23169,16
contig_2522,19
contig_33479,14
contig_8642,10
contig_26254,15
contig_2824,11
contig_840,4
contig_280,10
contig_30157,9
contig_3895,5
contig_4111,10
contig_6271,3
contig_2487,3
contig_26035,10
contig_16574,9
contig_18629,12
contig_1471,7
contig_1478,14
contig_15633,24
contig_2198,2
contig_1098,2
contig_7421,7
contig_9935,8
contig_25682,14
contig_16747,20
contig_30485,2
contig_13450,10
contig_27848,9
contig_5128,1
contig_30002,26
contig_22482,11
contig_3428,3
contig_14188,13
contig_2273,3
contig_32048,5
contig_26978,13
contig_4562,2
contig_3052,5
contig_19108,3
contig_39276,2
contig_4156,8
contig_3445,8
contig_3588,6
contig_19905,23
contig_24045,1
contig_6128,4
scaffold_5546,2
contig_5593,5
contig_30337,2
contig_34461,20
contig_23795,3
contig_16349,4
contig_2668,2
contig_1264,17
contig_1252,3
contig_6173,8
contig_463,5
contig_1666,9
contig_13587,10
contig_14584,3
contig_17520,5
contig_2715,8
contig_33003,3
contig_4000,7
contig_9758,17
contig_462,1
contig_39057,12
contig_5377,14
contig_15539,11
contig_11081,1
contig_21403,6
contig_36871,10
contig_4760,3
contig_31237,13
contig_7239,14
contig_4182,1
contig_8527,9
contig_439,7
contig_10090,13
contig_540,14
contig_794,2
contig_29,4
contig_778,1
scaffold_61255,24
contig_15122,41
contig_3918,5
contig_27544,8
contig_21397,3
contig_22106,1
contig_15718,2
contig_13147,4
contig_2574,6
contig_4324,7
contig_1186,3
contig_4313,12
contig_10585,9
contig_2278,15
contig_10586,9
contig_36714,9
contig_2630,8
contig_22138,1
contig_16053,8
contig_37625,1
contig_21768,5
contig_1323,9
contig_45567,18
contig_31335,4
contig_6821,8
contig_3061,6
contig_2167,9
contig_2745,15
contig_37669,18
contig_31601,12
contig_24799,26
contig_8097,1
contig_4992,9
contig_4294,13
contig_40523,26
contig_19305,7
contig_15059,3
contig_6241,1
contig_13080,7
contig_12939,6
contig_23934,3
contig_1941,5
contig_5233,14
contig_4919,3
contig_4066,2
contig_26997,13
contig_2732,5
contig_4843,6
contig_2863,11
contig_56929,9
contig_2332,5
contig_34441,3
contig_11602,12
contig_14493,6
contig_7348,6
contig_17106,6
contig_5611,3
contig_6518,11
contig_21909,1
contig_4133,13
contig_18143,13
contig_977,18
contig_25789,5
contig_14296,3
contig_5242,13
contig_21625,14
contig_2562,9
contig_46740,2
contig_2345,5
contig_13256,1
contig_27201,5
contig_4480,3
contig_27159,7
contig_6393,15
contig_1727,12
contig_6974,9
contig_16375,2
contig_4539,9
contig_4271,2
contig_5992,3
contig_9392,5
scaffold_22961,4
contig_30877,4
contig_9993,14
scaffold_32295,2
contig_1389,17
contig_6745,1
contig_11691,9
contig_30324,17
contig_28213,3
contig_10323,5
contig_4360,22
contig_39443,12
contig_4617,12
contig_21189,11
contig_1116,13
contig_2969,11
contig_6308,7
contig_21846,1
contig_8015,13
contig_1056,6
contig_246,22
contig_19888,1
contig_25788,14
contig_19608,6
contig_24700,17
contig_28539,4
contig_7300,17
contig_27946,1
contig_30818,16
contig_6189,3
contig_11547,11
contig_32859,8
contig_11659,9
contig_5402,11
contig_8625,5
contig_233,15
contig_35612,17
contig_23117,8
contig_27622,5
contig_12492,5
contig_21813,17
scaffold_10557,6
contig_53232,4
contig_34596,2
contig_42217,23
contig_4548,4
contig_9308,12
contig_8762,14
contig_7070,10
contig_29047,3
contig_18382,2
contig_5797,15
contig_3987,13
scaffold_2041,2
contig_36925,11
contig_3068,9
contig_25238,7
contig_11275,14
contig_1678,2
contig_17487,3
contig_3,7
contig_19678,2
contig_39895,10
contig_16887,1
contig_25350,5
contig_12648,7
contig_23840,12
contig_17681,10
contig_7471,20
contig_18420,7
contig_7662,1
contig_4334,8
contig_609,11
contig_60935,2
contig_31330,16
contig_5135,9
contig_5481,6
contig_26741,6
contig_33178,2
scaffold_30736,26
contig_24868,6
contig_7365,4
contig_12276,5
contig_29452,1
contig_22936,4
contig_20435,6
contig_13663,10
contig_1239,9
contig_5471,6
contig_6891,1
contig_18333,4
contig_1350,8
contig_18395,2
contig_5617,9
contig_27100,2
contig_2365,12
contig_33324,14
contig_3130,4
contig_23264,3
contig_48364,15
contig_2183,17
contig_47467,14
contig_6049,13
contig_19193,10
contig_34266,6
contig_12781,5
contig_38047,1
contig_45977,4
contig_8837,5
contig_21810,13
contig_47020,12
contig_7766,20
contig_9936,9
contig_1650,8
contig_34920,2
